Perl,,"Definitely lost",,"Indirectly lost",,"Possibly lost",,"Still reachable",,Suppressed,,"ERROR SUMMARY",,,
version,Config,bytes,blocks,bytes,blocks,bytes,blocks,bytes,blocks,bytes,blocks,errors,contexts,suppressed,from
5.006,x86_64-linux,0,0,0,0,79584,80,10032,11,0,0,42,42,0,0
5.006001,x86_64-linux-perlio,-,-,-,-,-,-,-,-,-,-,0,0,0,0
5.006001,x86_64-linux-thread-multi-ld-perlio,-,-,-,-,-,-,-,-,-,-,0,0,0,0
5.006002,x86_64-linux-perlio,-,-,-,-,-,-,-,-,-,-,0,0,0,0
5.006002,x86_64-linux-thread-multi-ld-perlio,-,-,-,-,-,-,-,-,-,-,0,0,0,0
5.008,x86_64-linux,0,0,0,0,0,0,1408,4,0,0,0,0,0,0
5.008,x86_64-linux-thread-multi-ld,45,5,0,0,0,0,1518,5,0,0,1,1,0,0
5.008001,x86_64-linux,335,9,0,0,0,0,1432,4,0,0,2,2,0,0
5.008001,x86_64-linux-thread-multi-ld,353,9,0,0,0,0,1518,5,0,0,2,2,0,0
5.008002,x86_64-linux,335,9,0,0,0,0,1432,4,0,0,2,2,0,0
5.008002,x86_64-linux-thread-multi-ld,353,9,0,0,0,0,1518,5,0,0,2,2,0,0
5.008003,x86_64-linux,195,5,0,0,0,0,1432,4,0,0,1,1,0,0
5.008003,x86_64-linux-thread-multi-ld,205,5,0,0,0,0,1518,5,0,0,1,1,0,0
5.008004,x86_64-linux,195,5,0,0,0,0,1432,4,0,0,1,1,0,0
5.008004,x86_64-linux-thread-multi-ld,205,5,0,0,0,0,1518,5,0,0,1,1,0,0
5.008005,x86_64-linux,195,5,0,0,0,0,1432,4,0,0,1,1,0,0
5.008005,x86_64-linux-thread-multi-ld,205,5,0,0,0,0,1518,5,0,0,1,1,0,0
5.008006,x86_64-linux,195,5,0,0,0,0,1432,4,0,0,1,1,0,0
5.008006,x86_64-linux-thread-multi-ld,205,5,0,0,0,0,1518,5,0,0,1,1,0,0
5.008007,x86_64-linux,195,5,0,0,0,0,1432,4,0,0,1,1,0,0
5.008007,x86_64-linux-thread-multi-ld,205,5,0,0,0,0,1518,5,0,0,1,1,0,0
5.008008,x86_64-linux,545,46,0,0,0,0,1432,4,0,0,20,20,0,0
5.008008,x86_64-linux-thread-multi-ld,555,46,0,0,0,0,1518,5,0,0,20,20,0,0
5.008009,x86_64-linux,323,38,0,0,0,0,1432,4,0,0,17,17,0,0
5.008009,x86_64-linux-thread-multi-ld,323,38,0,0,0,0,1518,5,0,0,17,17,0,0
5.010000,x86_64-linux,0,0,0,0,0,0,1411,4,0,0,0,0,0,0
5.010000,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1497,5,0,0,1,1,0,0
5.010001,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.010001,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.011000,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.011000,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.011001,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.011001,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.011002,x86_64-linux,0,0,0,0,0,0,1843,5,0,0,0,0,0,0
5.011002,x86_64-linux-thread-multi-ld,416,1,160,1,0,0,1545,5,0,0,1,1,0,0
5.011003,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.011003,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.011004,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.011004,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.011005,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.011005,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.012000,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.012000,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.012001,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.012001,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.012002,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.012002,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.012003,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.012003,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.012004,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.012004,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.012005,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.012005,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.013000,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013000,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.013001,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013001,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.013002,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013002,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.013003,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013003,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.013004,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013004,x86_64-linux-thread-multi-ld,160,1,0,0,0,0,1545,5,0,0,1,1,0,0
5.013005,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013005,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.013006,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013006,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.013007,x86_64-linux,4592,22,0,0,0,0,1459,4,0,0,4,4,0,0
5.013007,x86_64-linux-thread-multi-ld,1096,1,4200,21,0,0,1545,5,0,0,1,1,0,0
5.013008,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013008,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.013009,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.013009,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.013010,x86_64-linux,0,0,0,0,0,0,1462,4,0,0,0,0,0,0
5.013010,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1548,5,0,0,0,0,0,0
5.013011,x86_64-linux,0,0,0,0,0,0,1462,4,0,0,0,0,0,0
5.013011,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1548,5,0,0,0,0,0,0
5.014000,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.014000,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.014001,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.014001,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.014002,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.014002,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.014003,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.014003,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.014004,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.014004,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.015000,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.015000,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.015001,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.015001,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.015002,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.015002,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
5.015003,x86_64-linux,0,0,0,0,0,0,1459,4,0,0,0,0,0,0
5.015003,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1545,5,0,0,0,0,0,0
